Country,Exports
Peru,110268
Costa Rica,72758
Israel,70473
Brazil,44844
South Africa,38587
Ghana,35568
Chile,32063
Pakistan,26080
Spain,24679
Colombia,23190
Turkey,19046
Dominican Rep.,18568
India,10562
Egypt,9938
United States of America,8301
Mexico,7622
Ivory Coast,6789
Tunisia,6656
United Arab Emirates,6558
Saudi Arabia,5287
Kenya,5146
Morocco,5125
Burkina Faso,5115
Tanzania,4289
Jordan,4130
"Palestine, State of",3669
Senegal,2969
Zimbabwe,2649
Guatemala,2470
Algeria,2082
Iran,2036
Malawi,1988
Bangladesh,1946
Germany,1909
Italy,1872
France,1605
Mali,1517
Mozambique,1465
Portugal,1304
Namibia,1160
Netherlands,986
Benin,925
Greece,851
Ireland,820
Thailand,798
China,623
Gambia,554
Indonesia,479
Jamaica,432
Philippines,422
Uganda,358
Venezuela,322
Panama,292
Ecuador,257
Belgium,230
Cayman Islands,225
Vietnam,200
Guinea,155
Togo,129
Afghanistan,86
Iceland,67
Bulgaria,65
Saint Lucia,63
Cambodia,56
Oman,49
Kuwait,38
United Kingdom,38
Sri Lanka,33
Lebanon,24
Nigeria,20
Libya,17
Sudan,17
Honduras,16
Malaysia,14
Poland,13
Japan,13
"Taipei, Chinese",12
Romania,12
Anguilla,12
Switzerland,10
"Macao, China",10
Denmark,9
Rwanda,8
Argentina,8
Barbados,7
Qatar,7
Estonia,6
Turkmenistan,6
Slovakia,5
Cuba,4
Czech Republic,3
Grenada,3
Cyprus,2
Mauritius,2
Uzbekistan,2
Ukraine,2
Cameroon,1
Singapore,
Finland,
"Hong Kong, China",
Sweden,
Norway,
Somalia,
Austria,
Yemen,
Slovenia,
Canada,
Antigua and Barbuda,
Iraq,
New Zealand,
Australia,
Syrian,
Hungary,
Lithuania,
Haiti,
Myanmar,
Latvia,
Nicaragua,
Croatia,
Armenia,
Georgia,
Kazakhstan,
Luxembourg,
Ethiopia,
Paraguay,
Eswatini,
Russia,
Bosnia and Herzegovina,
Burundi,
Niger,
Serbia,
Laos,
Azerbaijan,
Dominica,
Kyrgyzstan,
Saint Vincent and the Grenadines,
Guyana,
Bahrain,
Sierra Leone,
South Korea,
Zambia,
Fiji,
Saint Kitts and Nevis,
Pitcairn,
"Macedonia, North",
Angola,
S. Sudan,
United States Minor Outlying Islands,
Trinidad and Tobago,
El Salvador,
Nepal,
Madagascar,
Uruguay,
Montenegro,
Tajikistan,
"Moldova, Republic of",
Free Zones,
Equatorial Guinea,
Brunei Darussalam,
Saint Pierre and Miquelon,
Malta,
Suriname,
Bolivia,
Gabon,
Eritrea,
Belarus,
Tuvalu,
Tonga,
Botswana,
Solomon Islands,
Curaçao,
Chad,
Greenland,
Mongolia,
Republic of the Congo,
Mauritania,
Central African Rep.,
North Korea,
